Name,Circuit,ID,Appointing President,Appointing President Party,Year of Departure,Year of Birth,Year of Death,President when Departed,Reason for Departing,Judge Party,District,State,City,Gender,Race,Year of Appointment,Cross Appointment,Recess Appointment,Assets,ABA Rating,Congress,Unity,House Democrats,House Republicans,Senate Democrats,Senate Republicans,House Independents,Senate Independents,Net Worth,Previous Position - ssc,Previous Position - slc,Previous Position - locct,Previous Position - sjdget,Previous Position - ausa,Previous Position - usa,Previous Position - sgo,Previous Position - sg,Previous Position - ago,Previous Position - ag,Previous Position - cc,Previous Position - sp,Previous Position - mag,Previous Position - bank,Previous Position - terr,Previous Position - cab,Previous Position - asatty,Previous Position - satty,Previous Position - cabdept,Previous Position - scab,Previous Position - scabdpt,Previous Position - aag,Previous Position - indreg1,Previous Position - reg1,Previous Position - reg2,Previous Position - reg3,Previous Position - house,Previous Position - senate,Previous Position - gov,Previous Position - ssenate,Previous Position - shouse,Previous Position - mayor,Previous Position - ccoun,Previous Position - ccom,Previous Position - ada,Previous Position - da,Previous Position - lother,Previous Position - lotherl,Previous Position - lawprof,Previous Position - private,Ideology Score
"Shadur, Milton Irving",7,13730,Carter,Democrat,1992,1924.0,9999.0,"Bush, 41",Retired,Democrat,Northern,Illinois,"Chicago, IL",Male,White,1980,Same Party,Not Recess Appt.,785436.0,Qualified,102ND,Unified,277,158,59,41,0,0,785436.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3100000023841858
"Shanahan, Thomas Michael",8,23810,Clinton,Democrat,2004,1934.0,9999.0,"Bush, 43",Retired,Independent,Entire State,Nebraska,"Lincoln, NE",Male,White,1993,Not Two-Party,Not Recess Appt.,424150.0,Qualified,108TH,Unified,258,176,57,43,1,0,424150.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2005000114440918
"Shannon, Clyde Frederick, Jr.",5,13740,Carter,Democrat,1984,1942.0,,Reagan,Resigned,Democrat,Western,Texas,"San Antonio, TX",Male,White,1980,Same Party,Not Recess Appt.,518321.0,Qualified,98TH,Unified,277,158,59,41,0,0,518321.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.11800000071525574
"Shanstrom, Jack D.",9,13747,"Bush, 41",Republican,2001,1932.0,9999.0,"Bush, 43",Retired,Republican,Entire State,Montana,"Billings, MT",Male,White,1990,Same Party,Not Recess Appt.,731100.0,Well-Qual.,107TH,"Divided, Both",260,175,55,45,0,0,731100.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.30300000309944153
"Shapiro, Norma Levy",3,13750,Carter,Democrat,1998,1928.0,9999.0,Clinton,Retired,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Female,White,1978,Cross Party,Not Recess Appt.,,Well-Qual.,105TH,Unified,292,143,62,38,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5019999742507935
"Sharp, Allen",7,13760,Nixon,Republican,9999,1932.0,9999.0,Active Ser.,Active Service,Republican,Northern,Indiana,"Hammond, IN",Male,White,1973,Same Party,Not Recess Appt.,,Qualified,,"Divided, Both",243,192,57,43,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3779999911785126
"Sharp, Morell E.",9,13780,Nixon,Republican,1980,1920.0,1980.0,Carter,Died,Republican,Western,Washington,"Seattle, WA",Male,White,1971,Same Party,Not Recess Appt.,,Well-Qual.,96TH,"Divided, Both",225,180,55,45,0,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3779999911785126
"Sharp, George Kendall",11,13770,Reagan,Republican,2000,1934.0,9999.0,Clinton,Retired,Republican,Middle,Florida,"Orlando, FL",Male,White,1983,Same Party,Not Recess Appt.,906484.0,Qualified,106TH,"Divided, House",269,166,46,54,0,0,906484.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.1289999932050705
"Sharpe, Gary L.",2,30392,"Bush, 43",Republican,9999,1947.0,9999.0,Active Ser.,Active Service,Republican,Northern,New York,,Male,White,2004,Same Party,Not Recess Appt.,,,,Unified,205,228,48,51,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4860000014305115
"Shaw, Robert",3,13810,Kennedy,Democrat,1972,1907.0,1972.0,Nixon,Died,Democrat,Entire State,New Jersey,"Newark, NJ",Male,White,1962,Same Party,Not Recess Appt.,,Well-Qual.,92ND,Unified,263,174,64,36,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.30399999022483826
"Shaw, John M.",5,13800,Carter,Democrat,1996,1931.0,2000.0,Clinton,Retired,Democrat,Western,Louisiana,"Opelusas, LA",Male,White,1979,Same Party,Not Recess Appt.,327130.0,Qualified,104TH,Unified,277,158,59,41,0,0,327130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.13349999487400055
"Shaw, Elwyn Riley",7,13790,F. Roosevelt,Democrat,1950,1888.0,1950.0,Truman,Died,Democrat,Northern,Illinois,"Freeport, IL",Male,White,1944,Same Party,Not Recess Appt.,,Not Rated,81ST,Unified,222,209,57,38,4,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.210999995470047
"Shaw, Charles A.",8,23815,Clinton,Democrat,9999,1944.0,9999.0,Active Ser.,Active Service,Independent,Eastern,Missouri,"St. Louis, MO",Male,African American,1993,Not Two-Party,Not Recess Appt.,233000.0,Well-Qual.,,Unified,258,176,57,43,1,0,233000.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.37700000405311584
"Shea, Edward F.",9,30068,Clinton,Democrat,9999,1942.0,9999.0,Active Ser.,Active Service,Democrat,Eastern,Washington,"Pasco, WA",Male,White,1998,Same Party,Not Recess Appt.,1031352.0,Qualified,,"Divided, Both",207,227,45,55,1,0,1031352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3059999942779541
"Shedd, Dennis W.",4,21990,"Bush, 41",Republican,2002,1953.0,9999.0,"Bush, 43",Elevated,Republican,Entire State,South Carolina,"Greenville, SC",Male,White,1990,Same Party,Not Recess Appt.,222401.0,Qualified,107TH,"Divided, Both",260,175,55,45,0,0,222401.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.35199999809265137
"Sheehy, Joseph Warren",5,13820,Truman,Democrat,1967,1910.0,1967.0,L.B. Johnson,Died,Democrat,Eastern,Texas,"Tyler, TX",Male,White,1951,Same Party,Not Recess Appt.,,Not Rated,90TH,Unified,234,199,48,47,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09449999779462814
"Shelbourne, Roy Mahlon",6,13830,Truman,Democrat,1964,1890.0,1974.0,L.B. Johnson,Retired,Democrat,Western,Kentucky,"Paducah, KY",Male,White,1946,Same Party,Not Recess Appt.,,Not Rated,88TH,Unified,243,190,57,38,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.33500000834465027
"Shell, Terry L.",9,13850,Ford,Republican,1978,1922.0,1978.0,Carter,Died,Democrat,Eastern,Arkansas,"Little Rock, AR",Male,White,1975,Cross Party,Not Recess Appt.,,Qualified,95TH,"Divided, Both",291,144,61,38,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.3720000088214874
"Sheppard, William Bostwick",5,13870,T. Roosevelt,Republican,1934,1860.0,1934.0,F. Roosevelt,Died,Republican,Northern,Florida,"Pensacola, FL",Male,White,1907,Same Party,Conf. Recess Appt.,,Not Rated,73RD,Unified,164,222,29,61,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
"Sherburne, John Samuel",1,13873,Jefferson,Other,1830,1757.0,1830.0,Jackson,Died,Jeffersonian Democrat,Entire State,New Hampshire,"Portsmouth, NH",Male,White,1804,Not Two-Party,Not Recess Appt.,,Not Rated,21ST,Unified,102,39,25,9,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
"Sheridan, Michael H.",3,13880,Kennedy,Democrat,1976,1912.0,1976.0,Ford,Died,Democrat,Middle,Pennsylvania,"Scranton, PA",Male,White,1961,Same Party,Not Recess Appt.,,Well-Qual.,94TH,Unified,263,174,64,36,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5139999985694885
"Sherman, Charles Taylor",6,13883,A. Johnson,Other,1873,1811.0,1879.0,Grant,Resigned,Democrat,Northern,Ohio,"Mansfield, OH",Male,White,1867,Not Two-Party,Not Recess Appt.,,Not Rated,42ND,Unified,49,143,11,42,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,
"Shields, William Bayard",13,13886,Monroe,Other,1823,1780.0,1823.0,Monroe,Died,Jeffersonian Democrat,Entire State,Mississippi,"Natchez, MS",Male,White,1818,Not Two-Party,Not Recess Appt.,,Not Rated,18TH,Unified,141,42,34,10,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Shipman, William Davis",2,13903,Buchanan,Other,1873,1818.0,1898.0,Grant,Resigned,Democrat,Entire State,Connecticut,"Hartford, CT",Male,White,1860,Not Two-Party,Not Recess Appt.,,Not Rated,43RD,"Divided, House",101,113,38,26,23,2,,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
