Name,Circuit,ID,Appointing President,Appointing President Party,Year of Departure,Year of Birth,Year of Death,President when Departed,Reason for Departing,Judge Party,District,State,City,Gender,Race,Year of Appointment,Cross Appointment,Recess Appointment,Assets,ABA Rating,Congress,Unity,House Democrats,House Republicans,Senate Democrats,Senate Republicans,House Independents,Senate Independents,Net Worth,Previous Position - ssc,Previous Position - slc,Previous Position - locct,Previous Position - sjdget,Previous Position - ausa,Previous Position - usa,Previous Position - sgo,Previous Position - sg,Previous Position - ago,Previous Position - ag,Previous Position - cc,Previous Position - sp,Previous Position - mag,Previous Position - bank,Previous Position - terr,Previous Position - cab,Previous Position - asatty,Previous Position - satty,Previous Position - cabdept,Previous Position - scab,Previous Position - scabdpt,Previous Position - aag,Previous Position - indreg1,Previous Position - reg1,Previous Position - reg2,Previous Position - reg3,Previous Position - house,Previous Position - senate,Previous Position - gov,Previous Position - ssenate,Previous Position - shouse,Previous Position - mayor,Previous Position - ccoun,Previous Position - ccom,Previous Position - ada,Previous Position - da,Previous Position - lother,Previous Position - lotherl,Previous Position - lawprof,Previous Position - private,Ideology Score
"Copenhaver, John T., Jr.",4,2010,Ford,Republican,9999,1925.0,9999.0,Active Ser.,Active Service,Republican,Southern,West Virginia,"Charleston, WV",Male,White,1976,Same Party,Not Recess Appt.,,Well-Qual.,,"Divided, Both",291,144,61,38,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3720000088214874
"Copple, William P.",9,2015,L.B. Johnson,Democrat,1983,1916.0,2000.0,Reagan,Retired,Democrat,Entire State,Arizona,"Phoenix, AZ",Male,White,1966,Same Party,Not Recess Appt.,,Qualified,98TH,Unified,295,140,68,32,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1860000044107437
"Corcoran, Howard F.",12,2020,L.B. Johnson,Democrat,1977,1906.0,1989.0,Carter,Retired,Democrat,Entire State,D.C.,District of Columbia,Male,White,1965,Same Party,Not Recess Appt.,,Qualified,95TH,Unified,295,140,68,32,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.32600000500679016
"Cordova, Valdemar A.",9,2025,Carter,Democrat,1988,1922.0,1988.0,Reagan,Died,Democrat,Entire State,Arizona,"Phoenix, AZ",Male,Hispanic,1979,Same Party,Not Recess Appt.,253515.0,Qualified,100TH,Unified,277,158,59,41,0,0,253515.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.18799999356269836
"Corrigan, Timothy J.",11,30219,"Bush, 43",Republican,9999,,9999.0,Active Ser.,Active Service,Independent,Middle,Florida,,Male,White,2002,Not Two-Party,Not Recess Appt.,,,,"Divided, Senate",212,221,50,50,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4860000014305115
"Cosgrave, George",9,2030,Hoover,Republican,1940,1870.0,1945.0,F. Roosevelt,Retired,Republican,Southern,California,"Los Angeles, CA",Male,White,1930,Same Party,Not Recess Appt.,,Not Rated,76TH,Unified,163,267,39,56,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Costantino, Mark A.",2,2035,Nixon,Republican,1987,1920.0,1990.0,Reagan,Retired,Republican,Eastern,New York,"Brooklyn, NY",Male,White,1971,Same Party,Not Recess Appt.,,Qualified,100TH,"Divided, Both",225,180,55,45,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16599999368190765
"Cote, Denise Louise",2,23005,Clinton,Democrat,9999,1946.0,9999.0,Active Ser.,Active Service,Independent,Southern,New York,"Manhattan, NY",Female,White,1994,Not Two-Party,Not Recess Appt.,1227665.0,Qualified,,Unified,258,176,57,43,1,0,1227665.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.29100000858306885
"Cotterall, John Hazelton",8,80001,T. Roosevelt,Republican,1928,1864.0,1933.0,Coolidge,Elevated,Republican,Western,Oklahoma,"Guthrie, OK",Male,White,1907,Same Party,Conf. Recess Appt.,,Not Rated,70TH,Unified,164,222,29,61,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Coughenour, John C.",9,2055,Reagan,Republican,9999,1941.0,9999.0,Active Ser.,Active Service,Republican,Western,Washington,"Seattle, WA",Male,White,1981,Same Party,Not Recess Appt.,416600.0,Well-Qual.,,"Divided, House",243,192,47,53,0,0,416600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1860000044107437
"Covello, Alfred Vincent",2,22825,"Bush, 41",Republican,2003,1933.0,9999.0,"Bush, 43",Retired,Republican,Entire State,Connecticut,"Hartford, CT",Male,White,1992,Same Party,Not Recess Appt.,1116898.0,Well-Qual.,108TH,"Divided, Both",267,165,56,44,1,0,1116898.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.492000013589859
"Covington, Virginia Maria Hernandez",11,30341,"Bush, 43",Republican,9999,1955.0,9999.0,Active Ser.,Active Service,Independent,Middle,Florida,,Female,Hispanic,2004,Not Two-Party,Not Recess Appt.,,,,Unified,205,228,48,51,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4860000014305115
"Covington, James Harry",12,2060,Wilson,Democrat,1918,1870.0,1942.0,Wilson,Resigned,Democrat,Entire State,D.C.,District of Columbia,Male,White,1914,Same Party,Not Recess Appt.,,Not Rated,65TH,Unified,290,127,51,44,18,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
"Cowan, Finis E.",5,2065,Carter,Democrat,1979,1929.0,,Carter,Resigned,Democrat,Southern,Texas,"Galveston, TX",Male,White,1977,Same Party,Not Recess Appt.,,Well-Qual.,96TH,Unified,292,143,62,38,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.11800000071525574
"Cowen, Robert E.",3,2070,Reagan,Republican,1987,1930.0,9999.0,Reagan,Elevated,Independent,Entire State,New Jersey,"Trenton, NJ",Male,White,1985,Not Two-Party,Not Recess Appt.,387500.0,Well-Qual.,100TH,"Divided, House",253,182,47,53,0,0,387500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5379999876022339
"Cox, Elijah Allen",5,2080,Coolidge,Republican,1957,1887.0,1974.0,Eisenhower,Retired,Democrat,Northern,Mississippi,"Baldwyn, MS",Male,White,1929,Cross Party,Not Recess Appt.,,Not Rated,85TH,Unified,163,267,39,56,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Cox, Owen D.",5,2100,Nixon,Republican,1981,1910.0,1990.0,Reagan,Retired,Republican,Southern,Texas,"Corpus Christie, TX",Male,White,1970,Same Party,Not Recess Appt.,,Well-Qual.,97TH,"Divided, Both",243,192,58,42,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.40299999713897705
"Cox, William H.",5,2105,Kennedy,Democrat,1982,1901.0,1988.0,Reagan,Retired,Democrat,Southern,Mississippi,"Jackson, MS",Male,White,1961,Same Party,Not Recess Appt.,,Excep. Well-Qual.,97TH,Unified,263,174,64,36,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07349999994039536
"Cox, Emmett Ripley",11,2085,Reagan,Republican,1988,1935.0,9999.0,Reagan,Elevated,Republican,Southern,Alabama,"Mobile, AL",Male,White,1981,Same Party,Not Recess Appt.,131558.0,Qualified,100TH,"Divided, House",243,192,47,53,0,0,131558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40700000524520874
"Cox, Walter Smith",12,2103,Hayes,Republican,1899,1826.0,1902.0,McKinley,Retired,Republican,Entire State,D.C.,District of Columbia,Male,White,1879,Same Party,Not Recess Appt.,,Not Rated,56TH,"Divided, House",156,137,36,39,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,
"Cox, Joseph Winston",12,2095,Hoover,Republican,1939,1875.0,1939.0,F. Roosevelt,Died,Democrat,Entire State,D.C.,District of Columbia,Male,White,1930,Cross Party,Not Recess Appt.,,Not Rated,76TH,Unified,163,267,39,56,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Coxe, Alfred Conkling, Sr.",2,2110,Arthur,Republican,1902,1847.0,1923.0,T. Roosevelt,Elevated,Republican,Eastern,New York,"New York, NY",Male,White,1882,Same Party,Not Recess Appt.,,Not Rated,57TH,Unified,130,152,37,37,11,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Coxe, Alfred Conkling, Jr.",2,2120,Hoover,Republican,1951,1880.0,1957.0,Truman,Retired,Republican,Southern,New York,"New York, NY",Male,White,1929,Same Party,Not Recess Appt.,,Not Rated,82ND,Unified,163,267,39,56,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Coyle, Robert E.",9,2125,Reagan,Republican,1996,1930.0,9999.0,Clinton,Retired,Republican,Eastern,California,"Fresno, CA",Male,White,1982,Same Party,Not Recess Appt.,1981806.0,Well-Qual.,104TH,"Divided, House",243,192,47,53,0,0,1981806.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5379999876022339
"Crabb, Barbara B.",7,2130,Carter,Democrat,9999,1939.0,9999.0,Active Ser.,Active Service,Independent,Western,Wisconsin,"Madison, WI",Female,White,1979,Not Two-Party,Not Recess Appt.,255170.0,Qualified,,Unified,277,158,59,41,0,0,255170.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.47200000286102295
"Craig, Walter Early",9,2135,Kennedy,Democrat,1979,1909.0,,Carter,Retired,Democrat,Entire State,Arizona,"Phoenix, AZ",Male,White,1963,Same Party,Not Recess Appt.,,Well-Qual.,96TH,Unified,258,176,67,33,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1860000044107437
"Crane, Robert Randall",5,30253,"Bush, 43",Republican,9999,,9999.0,Active Ser.,Active Service,Independent,Southern,Texas,,Male,Hispanic,2002,Not Two-Party,Not Recess Appt.,,,,"Divided, Senate",212,221,50,50,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Crary, Elisha Avery",9,2140,Kennedy,Democrat,1975,1905.0,1978.0,Ford,Retired,Republican,Southern,California,"Los Angeles, CA",Male,White,1962,Cross Party,Not Recess Appt.,,Excep. Well-Qual.,94TH,Unified,263,174,64,36,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.18199999630451202
"Craven, James Braxton, Jr.",4,2145,Kennedy,Democrat,1966,1918.0,1977.0,L.B. Johnson,Elevated,Democrat,Western,North Carolina,"Shelby, NC",Male,White,1961,Same Party,Not Recess Appt.,,Well-Qual.,89TH,Unified,263,174,64,36,0,0,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.010499998927116394
"Crawford, William",13,2152,J.Q. Adams,Other,1849,1767.0,1849.0,Polk,Died,Democrat,"No., Mid., So.",Alabama,"Montgomery, AL",Male,White,1826,Not Two-Party,Not Recess Appt.,,Not Rated,30TH,Unified,105,97,26,20,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.3400000035762787
"Creighton, William, Jr.",7,2154,J.Q. Adams,Other,1828,1778.0,1851.0,J.Q. Adams,Off. Term. or not Confirm,National Republican,Entire State,Ohio,"Chillicothe, OH",Male,White,1828,Not Two-Party,Unconf. Recess Appt.,,Not Rated,20TH,"Divided, House",94,119,20,28,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Croake, Thomas F.",2,2155,Kennedy,Democrat,1972,1902.0,1978.0,Nixon,Retired,Democrat,Southern,New York,"New York, NY",Male,White,1961,Same Party,Not Recess Appt.,,Well-Qual.,92ND,Unified,263,174,64,36,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.48500001430511475
"Crocker, Myron D.",9,2160,Eisenhower,Republican,1981,1915.0,9999.0,Carter,Retired,Republican,Southern,California,"Fresno, CA",Male,White,1959,Same Party,Not Recess Appt.,,Qualified,97TH,"Divided, Both",283,154,64,34,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.07000000029802322
"Crone, Marcia A.",5,30342,"Bush, 43",Republican,9999,1952.0,9999.0,Active Ser.,Active Service,Republican,Eastern,Texas,,Female,White,2003,Same Party,Not Recess Appt.,,,,Unified,205,228,48,51,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33250001072883606
"Cross, Joseph",3,2165,T. Roosevelt,Republican,1913,1843.0,1913.0,Wilson,Died,Republican,Entire State,New Jersey,"Elizabethtown, NJ",Male,White,1905,Same Party,Not Recess Appt.,,Not Rated,63RD,Unified,136,250,32,58,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,
"Crow, Sam A.",10,2170,Reagan,Republican,1996,1926.0,9999.0,Clinton,Retired,Republican,Entire State,Kansas,"Witchita, KS",Male,White,1981,Same Party,Not Recess Appt.,209186.0,Qualified,104TH,"Divided, House",243,192,47,53,0,0,209186.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20749999582767487
"Crowley, John P.",7,2180,Ford,Republican,1981,1936.0,,Reagan,Resigned,Democrat,Northern,Illinois,"Chicago, IL",Male,White,1976,Cross Party,Not Recess Appt.,,Well-Qual.,97TH,"Divided, Both",291,144,61,38,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.061000000685453415
"Cummings, Sam R.",5,2190,Reagan,Republican,9999,1944.0,9999.0,Active Ser.,Active Service,Republican,Northern,Texas,"Lubbock, TX",Male,White,1987,Same Party,Not Recess Appt.,733825.0,Qualified,,"Divided, Both",258,177,55,45,0,0,733825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4580000042915344
"Curran, Thomas J.",7,2205,Reagan,Republican,1997,1924.0,9999.0,Clinton,Retired,Republican,Eastern,Wisconsin,"Milwaukee, WI",Male,White,1983,Same Party,Not Recess Appt.,1350500.0,Excep. Well-Qual.,105TH,"Divided, House",269,166,46,54,0,0,1350500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1979999989271164
"Curran, Edward M.",12,2200,Truman,Democrat,1971,1903.0,1988.0,Nixon,Retired,Democrat,Entire State,D.C.,District of Columbia,Male,White,1946,Same Party,Conf. Recess Appt.,,Not Rated,92ND,Unified,243,190,57,38,2,1,,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.1679999977350235
"Currie, Cameron McGowan",4,23405,Clinton,Democrat,9999,1948.0,9999.0,Active Ser.,Active Service,Democrat,Entire State,South Carolina,"Columbia, SC",Female,White,1994,Same Party,Not Recess Appt.,605000.0,Well-Qual.,,Unified,258,176,57,43,1,0,605000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.22300000488758087
"Curtin, John T.",2,2210,L.B. Johnson,Democrat,1989,1921.0,9999.0,"Bush, 41",Retired,Democrat,Western,New York,"Buffalo, NY",Male,White,1967,Same Party,Not Recess Appt.,,Qualified,101ST,Unified,248,187,64,36,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.37700000405311584
"Curtis, Jesse William, Jr.",9,2215,Kennedy,Democrat,1975,1905.0,,Ford,Retired,Democrat,Southern,California,"Los Angeles, CA",Male,White,1962,Same Party,Not Recess Appt.,,Well-Qual.,94TH,Unified,263,174,64,36,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.18199999630451202
"Cushman, Edward E.",9,2225,Taft,Republican,1939,1865.0,1944.0,F. Roosevelt,Retired,Republican,Western,Washington,"Tacoma, WA",Male,White,1912,Same Party,Not Recess Appt.,,Not Rated,76TH,"Divided, House",228,162,42,49,1,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Cuyler, Jeremiah Latouche",6,2227,Monroe,Other,1839,1768.0,1839.0,Van Buren,Died,,Entire State,Georgia,"Savannah, GA",Male,White,1821,Not Two-Party,Conf. Recess Appt.,,Not Rated,26TH,Unified,158,25,44,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
"Cyr, Conrad Keefe",1,2230,Reagan,Republican,1989,1931.0,9999.0,"Bush, 41",Elevated,Republican,Entire State,Maine,"Bangor, ME",Male,White,1981,Same Party,Not Recess Appt.,136388.0,Well-Qual.,101ST,"Divided, House",243,192,47,53,0,0,136388.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04100000113248825
"Dalton, Ted",4,2240,Eisenhower,Republican,1976,1901.0,1989.0,Ford,Retired,Republican,Western,Virginia,"Roanoke, VA",Male,White,1959,Same Party,Not Recess Appt.,,Qualified,94TH,"Divided, Both",283,154,64,34,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.17599999904632568
"Daly, T.F. Gilroy",2,2245,Carter,Democrat,1996,1931.0,9999.0,Clinton,Died,Democrat,Entire State,Connecticut,"Bridgeport, CT",Male,White,1977,Same Party,Not Recess Appt.,,Qualified,104TH,Unified,292,143,62,38,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2750000059604645
"Dalzell, Stewart Richard",3,22140,"Bush, 41",Republican,9999,1943.0,9999.0,Active Ser.,Active Service,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Male,White,1991,Same Party,Not Recess Appt.,1177671.0,Well-Qual.,,"Divided, Both",267,165,56,44,1,0,1177671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009999999776482582
"Damrell, Frank C., Jr.",9,30033,Clinton,Democrat,9999,1938.0,9999.0,Active Ser.,Active Service,Democrat,Eastern,California,"Modesto, CA",Male,White,1997,Same Party,Not Recess Appt.,2197000.0,Well-Qual.,,"Divided, Both",207,227,45,55,1,0,2197000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.3174999952316284
"Daniel, Peter Vivian",5,2252,Jackson,Other,1841,1784.0,1860.0,Van Buren,Elevated to U.S. Supreme Court,Democrat,Eastern,Virginia,"Richmond, VA",Male,White,1836,Not Two-Party,Not Recess Appt.,,Not Rated,27TH,Unified,145,98,27,25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"Daniel, Wiley Y.",10,23410,Clinton,Democrat,9999,1946.0,9999.0,Active Ser.,Active Service,Democrat,Entire State,Colorado,"Denver, CO",Male,African American,1995,Same Party,Not Recess Appt.,174100.0,Qualified,,"Divided, Both",203,231,48,52,1,0,174100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.1340000033378601
"Daniels, George B.",2,30115,Clinton,Democrat,9999,1953.0,9999.0,Active Ser.,Active Service,Democrat,Southern,New York,"New York, NY",Male,African American,2000,Same Party,Not Recess Appt.,324000.0,Well-Qual.,,"Divided, Both",211,223,45,55,1,0,324000.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.29649999737739563
"Daronco, Richard J.",2,2255,Reagan,Republican,1988,1931.0,1988.0,Reagan,Died,Republican,Southern,New York,"New York, NY",Male,White,1987,Same Party,Not Recess Appt.,1243489.0,Qualified,100TH,"Divided, Both",258,177,55,45,0,0,1243489.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11400000005960464
"Darr, Leslie Rogers",6,2260,F. Roosevelt,Democrat,1961,1886.0,1967.0,Kennedy,Retired,Democrat,East. & West,Tennessee,"Chattanooga, TN",Male,White,1939,Same Party,Not Recess Appt.,,Not Rated,87TH,Unified,262,169,69,23,4,4,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017999999225139618
"Darrah, John W.",7,30149,Clinton,Democrat,9999,1938.0,9999.0,Active Ser.,Active Service,Republican,Northern,Illinois,"Naperville, IL",Male,White,2000,Cross Party,Not Recess Appt.,106315.0,Qualified,,"Divided, Both",211,223,45,55,1,0,106315.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.3199999928474426
"Daugherty, Frederick A.",10,2265,Kennedy,Democrat,1982,1914.0,9999.0,Reagan,Retired,Democrat,"No., Ea., Wst",Oklahoma,"Oklahoma City, OK",Male,White,1961,Same Party,Conf. Recess Appt.,,Well-Qual.,97TH,Unified,263,174,64,36,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14149999618530273
"Davidson, Glen H.",5,2270,Reagan,Republican,9999,1941.0,9999.0,Active Ser.,Active Service,Republican,Northern,Mississippi,"Aberdeen, MS",Male,White,1985,Same Party,Not Recess Appt.,520500.0,Qualified,,"Divided, House",253,182,47,53,0,0,520500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.23100000619888306
"Davidson, Thomas Whitfield",5,2275,F. Roosevelt,Democrat,1965,1876.0,1974.0,L.B. Johnson,Retired,Democrat,Northern,Texas,"Dallas, TX",Male,White,1936,Same Party,Not Recess Appt.,,Not Rated,89TH,Unified,322,103,69,25,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,
"Davies, William",6,2292,Monroe,Other,1821,1775.0,1829.0,Monroe,Resigned,Democrat-Republican,Entire State,Georgia,"Savannah, GA",Male,White,1819,Not Two-Party,Not Recess Appt.,,Not Rated,17TH,Unified,141,42,34,10,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,
"Davies, Elmer David",6,2280,F. Roosevelt,Democrat,1957,1899.0,1957.0,Eisenhower,Died,Democrat,Middle,Tennessee,"Nashville, TN",Male,White,1939,Same Party,Not Recess Appt.,,Not Rated,85TH,Unified,262,169,69,23,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.017999999225139618
