name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Kelley, Walter DeKalb, Jr.","Kelley, Walter DeKalb, Jr.",,4,Fourth,30371,"Bush, 43",Republican,9999,1955,9999,Active Ser.,Active Service,Republican,Eastern,Virginia,,Male,White,August,2004,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8044,7995,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelly, James McGirr","Kelly, James McGirr",10360,3,Third,6350,Reagan,Republican,1996,1928,9999,Clinton,Retired,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Male,White,August,1983,1,Same Party,,,,,17360,,Not Recess Appt.,0,0,0,283851,,Qualified,,46,54,268,167,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1983,1996,104TH,1,203,231,48,52,1,,98TH,"Divided, House",269,166,46,54,0,0,1996,,,104TH,1,3860,4,68,0,1,85,0,1,,,283851,68,13,55,"Philadelphia, PA",68,0,1,85,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,39,,,,,,1,,1,24,,1,
"Kelly, Robert F.","Kelly, Robert F.",20378,3,Third,6380,Reagan,Republican,2001,1935,9999,"Bush, 43",Retired,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Male,White,June,1987,2,Same Party,,,,,17600,,Not Recess Appt.,0,0,0,133172,,Well-Qual.,Qualified,55,45,258,177,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1987,2001,107TH,3,212,221,50,50,2,1,100TH,"Divided, Both",258,177,55,45,0,0,2001,,,107TH,3,5681,4,93,0,1,85,0,0,,,133172,66,14,52,"Rosemont, PA",93,0,1,85,0,0,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,1,
"Kelly, Patrick F.","Kelly, Patrick F.",11036,10,Tenth,6360,Carter,Democrat,1995,1929,9999,Clinton,Retired,Democrat,Entire State,Kansas,"Witchita, KS",Male,White,May,1980,0,Same Party,,,,,1125,,Not Recess Appt.,0,0,0,660331,,Well-Qual.,Qualified,58,41,277,158,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1980,1995,104TH,1,203,231,48,52,1,,96TH,Unified,277,158,59,41,0,0,1995,,,104TH,1,1690,4,430,0,0,333,0,1,,,660331,66,15,51,"Witchita, KS",430,0,0,333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kendall, Elton Joe","Kendall, Elton Joe",30563,5,Fifth,22740,"Bush, 41",Republican,2001,1954,9999,"Bush, 43",Resigned,Republican,Northern,Texas,"Dallas, TX",Male,White,May,1992,2,Same Party,,,,,,,Not Recess Appt.,1,0,,70450,,Qualified,,57,43,268,167,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1992,2001,107TH,3,212,221,50,50,2,1,102ND,"Divided, Both",267,165,56,44,1,0,2001,,,107TH,3,4330,8,78,0,1,6,0,1,,,70450,47,9,38,"Dallas, TX",78,0,1,6,0,1,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Kennamer, Charles Brents","Kennamer, Charles Brents",20510,5,Fifth,6390,Hoover,Republican,1955,1874,1955,Eisenhower,Died,Republican,No. & Middle,Alabama,"Montgomery, AL",Male,White,February,1931,0,Same Party,,,,,1780,,Not Recess Appt.,0,0,0,,,Not Rated,,47,48,216,218,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1930,1955,84TH,1,232,203,48,47,,1,71ST,Unified,163,267,39,56,1,1,1955,,,84TH,1,5887,15,0,2,2,108,3,3,,,,81,24,57,"Marshall County, AL",0,2,2,108,3,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Kennamer, Franklin Elmore","Kennamer, Franklin Elmore",20817,8,Eighth,6400,Coolidge,Republican,1940,1879,1960,F. Roosevelt,Retired,Republican,Eastern,Oklahoma,"Tulsa, OK",Male,White,February,1924,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,43,51,207,225,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1924,1940,76TH,0,262,169,69,23,4,4,68TH,Unified,207,225,43,51,3,2,1940,,,76TH,0,5866,15,0,2,2,108,3,3,,,,61,16,45,"Kennamer Cove, AL",0,2,2,108,3,3,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
"Kennedy, Harold M.","Kennedy, Harold M.",10277,2,Second,6450,F. Roosevelt,Democrat,1952,1895,,Truman,Resigned,Democrat,Eastern,New York,"Brooklyn, NY",Male,White,September,1944,0,Same Party,,,,,1420,,Not Recess Appt.,0,0,0,,,Not Rated,,58,38,222,209,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1944,1952,82ND,0,234,199,48,47,2,1,78TH,Unified,222,209,57,38,4,1,1952,,,82ND,0,3220,4,290,0,0,10,0,1,,,,57,8,49,"Brooklyn, NY",290,0,0,10,0,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kennedy, Cornelia Groefsema","Kennedy, Cornelia Groefsema",10666,6,Sixth,6430,Nixon,Republican,1979,1923,9999,Carter,Elevated,Republican,Eastern,Michigan,"Detroit, MI",Female,White,October,1970,1,Same Party,,,,,7980,,Not Recess Appt.,0,0,0,,,Well-Qual.,,58,42,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1970,1979,96TH,0,277,158,59,41,,,91ST,"Divided, Both",243,192,58,42,0,0,1979,,,96TH,0,2220,4,54,0,0,54,0,0,,,,56,9,47,"Detroit, MI",54,0,0,54,0,0,,,,1,,4,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,1,
"Kennedy, Thomas Blake","Kennedy, Thomas Blake",11038,8,Eighth,6460,Harding,Republican,1955,1874,1957,Eisenhower,Retired,Republican,Entire State,Wyoming,"Cheyenne, WY",Male,White,October,1921,0,Same Party,,,,,12480,,Not Recess Appt.,0,0,0,,,Not Rated,,37,59,132,300,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1921,1955,84TH,1,232,203,48,47,,1,67TH,Unified,132,300,37,59,1,0,1955,,,84TH,1,5832,7,571,1,,84,1,1,2,,,81,34,47,"Commerce, MI",571,1,,84,1,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kennedy, Henry Harold, Jr.","Kennedy, Henry Harold, Jr.",,12,D.C.,30020,Clinton,Democrat,9999,1948,9999,Active Ser.,Active Service,Democrat,Entire State,D.C.,District of Columbia,Male,African American,September,1997,3,Same Party,,,,,,,Not Recess Appt.,0,0,0,628078,,Well-Qual.,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,4015,10,111,1,1,39,1,1,0,0,628078,8051,8002,49,"Columbia, SC",111,1,1,39,1,1,0,0,,,1,18,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kennelly, Matthew F.","Kennelly, Matthew F.",,7,Seventh,30024,Clinton,Democrat,9999,1956,9999,Active Ser.,Active Service,Democrat,Northern,Illinois,"Evanston, IL",Male,White,April,1999,3,Same Party,,,,,,,Not Recess Appt.,,,,1959100,,Well-Qual.,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,106TH,"Divided, Both",211,223,45,55,1,0,9999,,,,,1458,4,64,1,1,39,1,1,0,0,1959100,8043,8000,43,"Marion, IN",64,1,1,39,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,1,91,,,,,,,,,,,,,,,,,,1,
"Kennerly, Thomas Martin","Kennerly, Thomas Martin",20511,5,Fifth,6410,Hoover,Republican,1954,1874,1962,Eisenhower,Retired,Republican,Southern,Texas,"Houston, TX",Male,White,February,1931,0,Same Party,,,,,5440,,Not Recess Appt.,0,0,0,,,Not Rated,,47,48,216,218,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1930,1954,83RD,0,213,221,47,48,1,1,71ST,Unified,163,267,39,56,1,1,1954,,,83RD,0,5888,3,0,2,2,108,3,3,,,,80,23,57,"Lee County, TX",0,2,2,108,3,3,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kent, Samuel B.","Kent, Samuel B.",30568,5,Fifth,22610,"Bush, 41",Republican,9999,1949,9999,Active Ser.,Active Service,Republican,Southern,Texas,"Galveston, TX",Male,White,September,1990,3,Same Party,,,,,3600,,Not Recess Appt.,0,0,0,538146,,Well-Qual.,,55,45,260,175,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1990,,,,,,,,,,101ST,"Divided, Both",260,175,55,45,0,0,9999,,,,,630,10,86,0,0,86,0,0,,,538146,8050,8009,41,"Denver, CO",86,0,0,86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kent, William Wallace","Kent, William Wallace",10667,6,Sixth,6470,Eisenhower,Republican,1970,1916,1973,Nixon,Elevated,Republican,Western,Michigan,"Grand Rapids, MI",Male,White,June,1954,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Well-Qual.,,46,48,213,221,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1954,1970,91ST,1,243,192,58,42,,,83RD,Unified,213,221,47,48,1,1,1970,,,91ST,1,2228,2,431,0,0,54,0,0,,,,54,16,38,"Galesburg, MI",431,0,0,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Kenyon, David Vreeland","Kenyon, David Vreeland",20902,9,Ninth,6490,Carter,Democrat,1995,1930,9999,Clinton,Retired,Republican,Central,California,"Los Angeles, CA",Male,White,September,1980,1,Cross Party,,,,,14980,,Not Recess Appt.,0,0,0,462113,,Qualified,Not Qualified,58,41,277,158,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1980,1995,104TH,1,203,231,48,52,1,,96TH,Unified,277,158,59,41,0,0,1995,,,104TH,1,5680,23,11,0,0,77,0,1,,,462113,65,15,50,"San Marino, CA",11,0,0,77,0,1,,,,,1,9,,,,,,,,,,,,,,,,,,,1,91,,,,,,,,,,,,,,,,,,1,
"Kern, Terry Curtis","Kern, Terry Curtis",11098,10,Tenth,23090,Clinton,Democrat,9999,1944,9999,Active Ser.,Active Service,Democrat,Northern,Oklahoma,"Ardmore, OK",Male,White,June,1994,3,Same Party,18,19,i,,,,Not Recess Appt.,1,0,,959150,,Qualified,Well-Qual.,56,44,259,176,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1994,,,,,,,,,,103RD,Unified,258,176,57,43,1,0,9999,,,,,5679,2,432,0,0,66,0,0,0,0,959150,8055,8005,50,"Clinton, OK",432,0,0,66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,72,,,,,,,,,,,,,,,,,,1,
"Kerr, Ewing Thomas","Kerr, Ewing Thomas",11039,10,Tenth,6530,Eisenhower,Republican,1975,1900,1992,Ford,Retired,Republican,Entire State,Wyoming,"Cheyenne, WY",Male,White,October,1955,0,Same Party,,,,,6460,,Conf. Recess Appt.,0,0,0,,,9,,48,47,232,203,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1955,1975,94TH,1,291,144,61,38,,,84TH,"Divided, Both",232,203,48,47,0,1,1975,,,94TH,1,5379,7,66,1,0,433,1,,,,,75,20,55,"Bowie, TX",66,1,0,433,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,165,,,,,,,,,,,1,10/22/1955
"Kerrigan, Frank H.","Kerrigan, Frank H.",20903,9,Ninth,6540,Coolidge,Republican,1935,1868,1935,F. Roosevelt,Died,Republican,Northern,California,"San Francisco, CA",Male,White,January,1924,1,Same Party,,,,,17720,,Not Recess Appt.,0,0,0,,,Not Rated,,43,51,207,225,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1924,1935,74TH,0,322,103,69,25,0,2,68TH,Unified,207,225,43,51,3,2,1935,,,74TH,0,5867,2,0,2,2,108,3,3,,,,67,11,56,"Contra Costa County, CA",0,2,2,108,3,3,,,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Kessler, Gladys","Kessler, Gladys",11267,12,D.C.,23055,Clinton,Democrat,9999,1938,9999,Active Ser.,Active Service,Democrat,Entire State,D.C.,District of Columbia,Female,White,June,1994,3,Same Party,15,16,y,,,,Not Recess Appt.,0,0,,900000,,Well-Qual.,,56,44,259,176,0,0,0,0,0,0,0,0,,,1,,,,,,,1994,,,,,,,,,,103RD,Unified,258,176,57,43,1,0,9999,,,,,3260,5,22,1,1,39,1,1,0,0,900000,8061,8005,56,"New York, NY",22,1,1,39,1,1,0,0,,,1,17,,,,,,,,,,,,,,,,,,,1,35,74,,,,,,,,,,,,,,1,26,,1,
"Ketchum, Winthrop Welles","Ketchum, Winthrop Welles",,3,Third,6544,Grant,Republican,1879,1820,1879,Grant,Died,Republican,Western,Pennsylvania,"Pittsburgh, PA",Male,White,June,1876,0,Same Party,,,,,8595,,Not Recess Appt.,0,0,0,,,Not Rated,,29,46,181,107,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1876,1879,46TH,1,150,128,43,33,14,,44TH,"Divided, House",181,107,29,46,3,0,1879,,,46TH,1,5949,10,0,2,2,108,3,3,,,,59,3,56,"Wilkes-Barre, PA",0,2,2,108,3,3,,,,,,,,,1,,,,,,,,,,,,,,,,1,147,,,1,,,,,1,1,,,,,,1,46,,1,
"Key, David McKendree","Key, David McKendree",,6,Sixth,6546,Hayes,Republican,1895,1824,1895,Cleveland (2),Retired,Democrat,Mid. & East.,Tennessee,"Chattanooga, TN",Male,White,May,1880,0,Cross Party,,,,,17285,,Not Recess Appt.,0,0,0,,,Not Rated,,43,33,150,128,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1880,1894,53RD,0,220,126,44,38,8,3,46TH,"Divided, Both",150,128,43,33,14,0,1894,,,53RD,0,5936,10,597,,,108,3,3,2,,,71,15,56,"Green County, TN",597,,,108,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,83,,,,1,,,,,,,,,,,1,22,,1,
"Kidd, William Matthew","Kidd, William Matthew",10455,4,Fourth,6550,Carter,Democrat,1990,1918,9999,"Bush, 41",Retired,Democrat,Southern,West Virginia,"Bluefield, WV",Male,White,December,1979,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,260763,,Not Qualified,,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1979,1990,101ST,1,260,175,55,45,,,96TH,Unified,277,158,59,41,0,0,1990,,,101ST,1,5678,99,0,2,2,135,0,0,,,260763,72,11,61,"Burnsville, WV",0,2,2,135,0,0,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,
"Kilkenny, John Francis","Kilkenny, John Francis",30920,9,Ninth,6570,Eisenhower,Republican,1969,1901,1995,Nixon,Elevated,Republican,Entire State,Oregon,"Portland, OR",Male,White,July,1959,0,Same Party,,,,,8640,,Not Recess Appt.,0,0,0,,,Well-Qual.,,64,34,283,153,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1959,1969,91ST,1,243,192,58,42,,,86TH,"Divided, Both",283,154,64,34,0,0,1969,,,91ST,1,3740,4,0,2,2,64,1,1,,,,68,10,58,"Heppner, OR",0,2,2,64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Killits, John Milton","Killits, John Milton",20646,6,Sixth,6590,Taft,Republican,1928,1858,1938,Coolidge,Retired,Republican,Northern,Ohio,"Toledo, OH",Male,White,June,1910,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,32,59,172,219,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1910,1928,70TH,0,195,237,47,48,3,1,61ST,Unified,172,219,32,59,0,0,1928,,,70TH,0,5965,10,101,0,1,20,1,1,2,10,,70,18,52,"Lithopolis, OH",101,0,1,20,1,1,2,10,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Kimball, Dale A.","Kimball, Dale A.",,10,Tenth,30019,Clinton,Democrat,9999,1936,9999,Active Ser.,Active Service,Democrat,Entire State,Utah,"Draper, UT",Male,White,October,1997,3,Same Party,,,,,,,Not Recess Appt.,0,0,,1277000,,Well-Qual.,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,4460,17,9,0,1,90,0,0,0,0,1277000,8063,8002,61,"Provo, UT",9,0,1,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"King, James L.","King, James L.",20512,5,Fifth,6610,Nixon,Republican,1992,1927,,"Bush, 41",Retired,Democrat,Southern,Florida,"Miami, FL",Male,White,October,1970,1,Cross Party,,,,,0,,Not Recess Appt.,1,,0,,,Qualified,,58,42,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1970,1992,102ND,1,267,165,56,44,1,,91ST,"Divided, Both",243,192,58,42,0,0,1992,,,102ND,1,950,10,31,0,0,31,0,0,,,,65,22,43,"Miami, FL",31,0,0,31,0,0,,,1,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"King, Samuel P.","King, Samuel P.",20904,9,Ninth,6620,Nixon,Republican,1984,1916,9999,Reagan,Retired,Republican,Entire State,Hawaii,"Honolulu, HI",Male,White,June,1972,0,Same Party,,,,,16060,,Not Recess Appt.,0,0,0,,,Qualified,,54,44,255,180,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1972,1984,98TH,2,269,166,46,54,,,92ND,"Divided, Both",255,180,55,45,0,0,1984,,,98TH,2,5676,2,99,1,1,99,1,1,,,,68,12,56,"Hankow, China",99,1,1,99,1,1,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,,1,
"King, Garr M.","King, Garr M.",,9,Ninth,30017,Clinton,Democrat,9999,1936,9999,Active Ser.,Active Service,Democrat,Entire State,Oregon,"Portland, OR",Male,White,April,1998,3,Same Party,,,,,,,Not Recess Appt.,,,,7276021,,Qualified,Well-Qual.,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,1232,4,0,2,2,418,0,1,0,0,7276021,8063,8001,62,"Pocatello, ID",0,2,2,418,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"King, George H.","King, George H.",30957,9,Ninth,23600,Clinton,Democrat,9999,1951,9999,Active Ser.,Active Service,Democrat,Central,California,"San Marino, CA",Male,Asian American,June,1995,3,Same Party,12,13,g,,,,Not Recess Appt.,1,,,768843,,Well-Qual.,,47,53,199,236,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1995,,,,,,,,,,104TH,"Divided, Both",203,231,48,52,1,0,9999,,,,,5677,99,13,0,0,77,0,1,0,0,768843,8048,8004,44,"Shanghai, China",13,0,0,77,0,1,0,0,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,83,,1,
"Kinkeade, James E.","Kinkeade, James E.",,5,Fifth,30282,"Bush, 43",Republican,9999,1951,9999,Active Ser.,Active Service,Republican,Northern,Texas,,Male,White,November,2002,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,8048,7997,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinneary, Joseph P.","Kinneary, Joseph P.",10668,6,Sixth,6630,L.B. Johnson,Democrat,1986,1905,2003,Reagan,Retired,Democrat,Southern,Ohio,"Columbus, OH",Male,White,July,1966,1,Same Party,,,,,17520,,Not Recess Appt.,0,0,0,,,Well-Qual.,,68,32,295,140,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1966,1986,99TH,2,253,182,47,53,,,89TH,Unified,295,140,68,32,0,0,1986,,,99TH,2,3525,4,64,1,1,18,0,0,,,,81,20,61,"Cincinnati, OH",64,1,1,18,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,
"Kirkland, Alfred Y.","Kirkland, Alfred Y.",10745,7,Seventh,6640,Ford,Republican,1979,1917,9999,Carter,Retired,Republican,Northern,Illinois,"Chicago, IL",Male,White,December,1974,1,Same Party,,,,,515,,Not Recess Appt.,0,0,0,,,Well-Qual.,,56,42,242,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1974,1979,96TH,0,277,158,59,41,,,93RD,"Divided, Both",243,192,57,43,0,0,1979,,,96TH,0,5675,9,42,0,0,42,0,0,,,,62,5,57,"Elgin, IL",42,0,0,42,0,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,
"Kirkland, James Robert","Kirkland, James Robert",11225,12,D.C.,6650,Truman,Democrat,1958,1903,1958,Eisenhower,Died,Republican,Entire State,D.C.,District of Columbia,Male,White,October,1949,0,Cross Party,,,,,0,Delaware,Conf. Recess Appt.,1,,0,,,Not Rated,,54,42,263,171,0,0,0,0,0,0,0,0,,,1,,,,,,,1949,1958,85TH,1,234,201,49,47,,,81ST,Unified,263,171,54,42,1,0,1958,,,85TH,1,880,2,34,0,1,34,0,1,10,22,,55,9,46,"Wilmington, DE",34,0,1,34,0,1,10,22,,,,,1,,,,,,1,,,,,,,,,,,,1,156,,,,,,,,,,,,,,,,,,1,10/21/1949
"Kirkpatrick, Andrew","Kirkpatrick, Andrew",,3,Third,6660,Cleveland (2),Democrat,1904,1844,1904,T. Roosevelt,Died,Democrat,Entire State,New Jersey,"Newark, NJ",Male,White,November,1896,1,Same Party,,,,,3843,,Conf. Recess Appt.,0,0,0,,,Not Rated,,39,44,104,246,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1896,1904,58TH,0,178,207,32,58,,,54TH,"Divided, Both",104,246,39,44,7,5,1904,,,58TH,0,5110,7,121,1,1,108,3,3,,,,60,8,52,District of Columbia,121,1,1,108,3,3,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11/20/1896
"Kirkpatrick, William Huntington","Kirkpatrick, William Huntington",10361,3,Third,6670,Coolidge,Republican,1958,1885,1970,Eisenhower,Retired,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Male,White,March,1927,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,47,48,195,237,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1927,1958,85TH,1,234,201,49,47,,,70TH,Unified,195,237,47,48,3,1,1958,,,85TH,1,3820,7,218,0,1,68,0,1,,,,73,31,42,"Easton, PA",218,0,1,68,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
"Kiser, Jackson L.","Kiser, Jackson L.",10456,4,Fourth,6680,Reagan,Republican,1997,1929,9999,Clinton,Retired,Republican,Western,Virginia,"Danville, VA",Male,White,December,1981,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,705070,,Well-Qual.,,46,53,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1981,1997,105TH,1,207,227,45,55,1,,97TH,"Divided, House",243,192,47,53,0,0,1997,,,105TH,1,5674,8,434,1,1,141,0,1,,,705070,68,16,52,"Welch, WV",434,1,1,141,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,95,,,,,,,,,,,,,,,,,,1,
"Kitchen, John J.","Kitchen, John J.",10362,3,Third,6690,Nixon,Republican,1973,1911,1973,Nixon,Died,Republican,Entire State,New Jersey,"Camden, NJ",Male,White,October,1970,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Qualified,,58,42,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1970,1973,93RD,1,243,192,57,43,,,91ST,"Divided, Both",243,192,58,42,0,0,1973,,,93RD,1,3020,99,68,1,1,71,0,0,,,,62,3,59,"Camden, NJ",68,1,1,71,0,0,,,,,1,12,,,,,,,,,,,,,,,,,,,1,43,,,,,,6,,,,,,,,1,1,54,,1,
"Klausner, Robert G.","Klausner, Robert G.",,9,Ninth,30266,"Bush, 43",Republican,9999,1941,9999,Active Ser.,Active Service,Republican,Central,California,,Male,White,November,2002,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,8058,7997,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kleinfeld, Andrew Jay","Kleinfeld, Andrew Jay",20905,9,Ninth,6700,Reagan,Republican,1991,1945,9999,"Bush, 41",Elevated,Republican,Entire State,Alaska,"Anchorage, AK",Male,White,May,1986,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,1240104,,Qualified,,47,53,253,182,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1986,1991,102ND,1,267,165,56,44,1,,99TH,"Divided, House",253,182,47,53,0,0,1991,,,102ND,1,3260,5,113,1,1,39,1,1,,,1240104,46,5,41,"New York, NY",113,1,1,39,1,1,,,,,,,,,,,,,,,1,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,1,
"Kloeb, Frank Leblond","Kloeb, Frank Leblond",10669,6,Sixth,6710,F. Roosevelt,Democrat,1964,1890,1976,L.B. Johnson,Retired,Democrat,Northern,Ohio,"Toledo, OH",Male,White,August,1937,0,Same Party,,,,,3980,,Not Recess Appt.,0,0,0,,,Not Rated,,75,17,333,89,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1937,1964,88TH,0,258,176,67,33,1,,75TH,Unified,333,89,75,17,13,4,1964,,,88TH,0,5673,4,0,2,2,435,0,,,,,74,27,47,"Celina, OH",0,2,2,435,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,
