name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Alaimo, Anthony A.","Alaimo, Anthony A.",10503,5,Fifth,85,Nixon,Republican,1991,1920,9999,"Bush, 41",Retired,Republican,Southern,Georgia,"Brunswick, GA",Male,White,December,1971,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,0,,Qualified,,54,44,255,180,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1971,1991,102ND,1,267,165,56,44,1,,92ND,"Divided, Both",225,180,55,45,0,0,1991,,,102ND,1,5381,10,165,1,1,30,0,1,,,0,71,20,51,"Sicily, Italy",165,1,1,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Albritton, William H., III","Albritton, William H., III",11176,11,Eleventh,22030,"Bush, 41",Republican,2004,1936,9999,"Bush, 43",Retired,Republican,Middle,Alabama,"Albertville, AL",Male,White,May,1991,2,Same Party,,,,,2615,,Not Recess Appt.,0,0,0,583894,,Well-Qual.,,56,44,268,167,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1991,2004,108TH,0,205,228,48,51,1,1,102ND,"Divided, Both",267,165,56,44,1,0,2004,,,108TH,0,5380,7,1,0,0,1,0,0,,,583894,68,13,55,"Andalusia, AL",1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Aldrich, Bailey","Aldrich, Bailey",10102,1,First,105,Eisenhower,Republican,1959,1907,1979,Eisenhower,Elevated,Republican,Entire State,Massachusetts,"Boston, MA",Male,White,April,1954,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,0,,Qualified,,46,48,213,221,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1954,1959,86TH,1,283,154,64,34,,,83RD,Unified,213,221,47,48,1,1,1959,,,86TH,1,2110,1,39,0,1,39,0,1,,,0,52,5,47,"Boston, MA",39,0,1,39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Aldrich, Edgar","Aldrich, Edgar",,1,First,115,B. Harrison,Republican,1921,1848,1921,Harding,Died,Republican,Entire State,New Hampshire,"Littleton, NH",Male,White,February,1891,0,Same Party,,,,,1726,,Not Recess Appt.,0,0,0,,,Not Rated,,39,47,231,88,1,0,0,0,0,0,0,0,0,2,1,,,,,,,1890,1921,67TH,0,132,300,37,59,1,,51ST,Unified,156,173,37,47,1,0,1921,,,67TH,0,5907,2,0,2,2,54,1,0,,,,73,30,43,"Pittsburg, NH",0,2,2,54,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,
"Aldrich, Ann","Aldrich, Ann",10601,6,Sixth,100,Carter,Democrat,1995,1927,9999,Clinton,Retired,Democrat,Northern,Ohio,"Cleveland, OH",Female,White,May,1980,0,Same Party,,,,,0,,Not Recess Appt.,1,1,0,112491,,Qualified,,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,1,,,,,,1980,1995,104TH,1,203,231,48,52,1,,96TH,Unified,277,158,59,41,0,0,1995,,,104TH,1,3960,2,20,1,1,61,1,1,10,11,112491,68,15,53,"Providence, RI",20,1,1,61,1,1,10,11,,,,,,,,,,,,,,,,,,,,,,,1,94,44,,,,,,,,,,,,,,,,1,1,
"Alesia, James H.","Alesia, James H.",20719,7,Seventh,120,Reagan,Republican,1998,1934,9999,Clinton,Retired,Republican,Northern,Illinois,"Chicago, IL",Male,White,May,1987,2,Same Party,,,,,7380,,Not Recess Appt.,0,0,0,582347,,Qualified,,55,45,258,177,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1987,1998,105TH,1,207,227,45,55,1,,100TH,"Divided, Both",258,177,55,45,0,0,1998,,,105TH,1,1325,4,50,0,1,254,0,,,,582347,64,11,53,"Chicago, IL",50,0,1,254,0,,,,,,,,1,,,,,,,,,,,,,,,,,,1,93,99,,,,,,,,,,,,,,,,,1,
"Allen, Charles M.","Allen, Charles M.",10602,6,Sixth,130,Nixon,Republican,1985,1916,2000,Reagan,Retired,Republican,Western,Kentucky,"Louisville, KY",Male,White,November,1971,0,Same Party,,,,,1055,,Not Recess Appt.,0,0,0,0,,Well-Qual.,,54,44,255,180,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1971,1985,99TH,2,253,182,47,53,,,92ND,"Divided, Both",225,180,55,45,0,0,1985,,,99TH,2,1740,2,99,1,1,48,0,0,,,0,69,14,55,"Louisville, KY",99,1,1,48,0,0,,,,,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Allen, William Joshua","Allen, William Joshua",,7,Seventh,140,Cleveland (1),Democrat,1901,1828,1901,McKinley,Died,Democrat,Southern,Illinois,"Springfield, IL",Male,White,April,1887,1,Same Party,,,,,17272,,Conf. Recess Appt.,0,0,0,,,Not Rated,,37,39,170,151,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1887,1900,56TH,0,163,185,26,53,9,11,50TH,"Divided, Senate",170,151,37,39,4,0,1900,,,56TH,0,5922,2,2,0,0,595,1,1,,,,73,14,59,"Wilson County, TN",2,0,0,595,1,1,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,4/18/1887
"Alley, Wayne E.","Alley, Wayne E.",11001,10,Tenth,145,Reagan,Republican,1999,1932,9999,Clinton,Retired,Republican,Western,Oklahoma,"Oklahoma City, OK",Male,White,July,1985,2,Same Party,,,,,0,,Not Recess Appt.,1,,0,160030,,Qualified,Well-Qual.,47,53,253,182,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1985,1999,106TH,1,211,223,45,55,1,,99TH,"Divided, House",253,182,47,53,0,0,1999,,,106TH,1,3750,7,82,1,1,82,1,1,,,160030,67,14,53,"Portland, OR",82,1,1,82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,92,,,,,,36,,,,,,,,,,,1,1,
"Allgood, Clarence W.","Allgood, Clarence W.",30510,5,Fifth,150,Kennedy,Democrat,1973,1902,1991,Nixon,Retired,Democrat,Northern,Alabama,"Birmingham, AL",Male,White,September,1961,1,Same Party,,,,,0,,Conf. Recess Appt.,1,,0,0,,Qualified,,64,36,262,175,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1961,1973,93RD,1,243,192,57,43,,,87TH,Unified,263,174,64,36,0,0,1973,,,93RD,1,110,8,157,0,0,255,0,,,,0,71,12,59,"Birmingham, AL",157,0,0,255,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/23/1961
"Allred, James V.","Allred, James V.",10505,5,Fifth,156,Truman,Democrat,1959,1899,1959,Eisenhower,Died,Democrat,Southern,Texas,"Corpus Christie, TX",Male,White,October,1949,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,54,42,263,171,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1949,1959,86TH,1,283,154,64,34,,,81ST,Unified,263,171,54,42,1,0,1959,,,86TH,1,5379,15,0,2,2,152,1,1,,,,60,10,50,"Bowie, TX",0,2,2,152,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,1,,,,1,
"Alsop, Donald D.","Alsop, Donald D.",10801,8,Eighth,165,Nixon,Republican,1992,1927,9999,"Bush, 41",Retired,Republican,Entire State,Minnesota,"St. Paul, MN",Male,White,December,1974,0,Same Party,,,,,10460,,Not Recess Appt.,0,0,0,0,,Well-Qual.,Qualified,56,42,242,192,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1974,1992,102ND,1,267,165,56,44,1,,93RD,"Divided, Both",243,192,57,43,0,0,1992,,,102ND,1,2320,24,194,0,0,194,0,0,,,0,65,18,47,"Duluth, MN",194,0,0,194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,1,
"Alsup, William Haskell","Alsup, William Haskell",,9,Ninth,30039,Clinton,Democrat,9999,1945,9999,Active Ser.,Active Service,Democrat,Northern,California,"Oakland, CA",Male,White,July,1999,3,Same Party,,,,,,,Not Recess Appt.,,,,3672483,,Well-Qual.,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,106TH,"Divided, Both",211,223,45,55,1,0,9999,,,,,2450,99,501,1,0,39,1,1,23,0,3672483,8054,8000,54,"Jackson, MS",501,1,0,39,1,1,23,0,,,,,,,1,,1,,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,,,,,1,
"Altimari, Frank X.","Altimari, Frank X.",10203,2,Second,169,Reagan,Republican,1985,1928,1998,Reagan,Elevated,Republican,Eastern,New York,"Uniondale, NY",Male,White,December,1982,0,Same Party,,,,,10350,,Not Recess Appt.,0,0,0,339181,,Qualified,,46,53,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1982,1985,99TH,2,253,182,47,53,,,97TH,"Divided, House",243,192,47,53,0,0,1985,,,99TH,2,5378,4,256,0,1,10,0,1,,,339181,57,3,54,"Queens, NY",256,0,1,10,0,1,,,,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Altonaga, Cecilia M.","Altonaga, Cecilia M.",,11,Eleventh,30324,"Bush, 43",Republican,9999,1962,9999,Active Ser.,Active Service,Republican,Southern,Florida,,Female,Hispanic,May,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8037,7996,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
